Attrition,age,BusinessTravel,Department,gender,JobSatisfaction,monthlyincome,overtime,Age_Band
No,42,Travel_Rarely,Research & Development,Male,4,6781,No,Experienced(30-50)
Yes,21,Travel_Frequently,Sales,Female,2,2174,Yes,Rookie(below 30)
No,36,Non-Travel,Sales,Female,4,6653,No,Experienced(30-50)
No,36,Travel_Frequently,Sales,Male,4,9699,No,Experienced(30-50)
No,57,Travel_Rarely,Research & Development,Male,3,6755,No,Senior(50-60)
No,40,Travel_Rarely,Research & Development,Female,3,2213,Yes,Experienced(30-50)
No,21,Non-Travel,Sales,Male,4,2610,No,Rookie(below 30)
Yes,33,Travel_Rarely,Sales,Female,3,2851,Yes,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Female,1,3452,No,Experienced(30-50)
No,46,Non-Travel,Research & Development,Female,3,5258,No,Experienced(30-50)
Yes,41,Travel_Frequently,Sales,Male,2,9355,No,Experienced(30-50)
No,50,Travel_Rarely,Research & Development,Male,4,10496,No,Experienced(30-50)
Yes,40,Travel_Rarely,Sales,Male,3,6380,Yes,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Male,2,2657,Yes,Experienced(30-50)
Yes,21,Travel_Rarely,Sales,Female,2,2716,No,Rookie(below 30)
No,29,Travel_Rarely,Research & Development,Male,4,2201,No,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Male,2,6540,No,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Male,2,3816,No,Rookie(below 30)
No,28,Travel_Rarely,Sales,Male,4,5253,No,Rookie(below 30)
No,49,Travel_Rarely,Research & Development,Male,3,10965,No,Experienced(30-50)
No,51,Travel_Rarely,Sales,Female,4,4936,No,Senior(50-60)
No,36,Travel_Rarely,Research & Development,Female,3,2543,No,Experienced(30-50)
Yes,34,Non-Travel,Sales,Male,4,5304,Yes,Experienced(30-50)
No,55,Travel_Rarely,Research & Development,Female,4,16659,Yes,Senior(50-60)
No,24,Travel_Rarely,Sales,Female,3,4260,Yes,Rookie(below 30)
No,30,Travel_Rarely,Sales,Male,2,2476,No,Rookie(below 30)
Yes,26,Travel_Frequently,Research & Development,Male,1,3102,No,Rookie(below 30)
No,22,Travel_Rarely,Research & Development,Female,2,2244,No,Rookie(below 30)
No,36,Travel_Rarely,Sales,Male,3,7596,No,Experienced(30-50)
Yes,30,Travel_Frequently,Research & Development,Male,4,2285,Yes,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Female,1,3034,No,Experienced(30-50)
No,40,Travel_Rarely,Sales,Female,2,5715,No,Experienced(30-50)
No,42,Travel_Rarely,Research & Development,Female,1,2576,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Male,2,4197,Yes,Experienced(30-50)
No,43,Travel_Rarely,Research & Development,Male,2,14336,No,Experienced(30-50)
No,40,Travel_Rarely,Research & Development,Female,3,3448,No,Experienced(30-50)
No,54,Travel_Rarely,Research & Development,Male,1,19406,No,Senior(50-60)
No,34,Non-Travel,Sales,Female,3,6538,No,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Female,1,4306,No,Experienced(30-50)
No,43,Travel_Frequently,Research & Development,Male,4,2258,No,Experienced(30-50)
No,43,Travel_Rarely,Research & Development,Female,3,4522,Yes,Experienced(30-50)
No,25,Travel_Rarely,Sales,Female,4,4487,Yes,Rookie(below 30)
No,37,Non-Travel,Research & Development,Female,3,4449,Yes,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Male,1,2218,No,Experienced(30-50)
No,39,Travel_Frequently,Research & Development,Male,3,19197,Yes,Experienced(30-50)
No,56,Travel_Frequently,Sales,Female,1,13212,No,Senior(50-60)
No,30,Travel_Rarely,Sales,Female,3,6577,No,Rookie(below 30)
No,41,Travel_Rarely,Sales,Male,1,8392,No,Experienced(30-50)
No,28,Travel_Rarely,Research & Development,Male,1,4558,No,Rookie(below 30)
Yes,25,Travel_Rarely,Research & Development,Male,1,4031,No,Rookie(below 30)
No,52,Travel_Rarely,Research & Development,Male,3,7969,Yes,Senior(50-60)
No,45,Travel_Rarely,Research & Development,Male,4,2654,No,Experienced(30-50)
No,52,Travel_Rarely,Research & Development,Female,4,16555,No,Senior(50-60)
No,42,Travel_Frequently,Research & Development,Female,3,4556,No,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Female,4,6091,No,Rookie(below 30)
No,60,Travel_Rarely,Research & Development,Female,1,19566,No,Senior(50-60)
No,46,Travel_Rarely,Research & Development,Female,3,4810,No,Experienced(30-50)
No,42,Travel_Frequently,Research & Development,Female,4,4523,No,Experienced(30-50)
Yes,24,Travel_Rarely,Sales,Female,2,3202,Yes,Rookie(below 30)
Yes,34,Travel_Frequently,Sales,Female,3,2351,No,Experienced(30-50)
No,38,Travel_Frequently,Research & Development,Male,4,1702,Yes,Experienced(30-50)
No,40,Travel_Rarely,Sales,Female,3,18041,No,Experienced(30-50)
No,26,Travel_Rarely,Research & Development,Female,4,2886,No,Rookie(below 30)
No,30,Non-Travel,Research & Development,Male,4,2097,No,Rookie(below 30)
No,29,Travel_Rarely,Research & Development,Male,3,11935,No,Rookie(below 30)
Yes,29,Travel_Rarely,Research & Development,Female,2,2546,No,Rookie(below 30)
Yes,19,Travel_Rarely,Human Resources,Male,4,2564,No,Rookie(below 30)
No,30,Non-Travel,Sales,Female,1,8412,No,Rookie(below 30)
No,57,Travel_Rarely,Sales,Male,4,14118,No,Senior(50-60)
No,50,Travel_Rarely,Research & Development,Male,3,17046,No,Experienced(30-50)
No,30,Non-Travel,Research & Development,Female,4,2564,No,Rookie(below 30)
No,60,Travel_Frequently,Sales,Female,1,10266,No,Senior(50-60)
No,47,Travel_Rarely,Research & Development,Female,4,5070,No,Experienced(30-50)
No,46,Travel_Rarely,Research & Development,Male,3,17861,No,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Male,3,4230,No,Experienced(30-50)
No,54,Travel_Rarely,Research & Development,Female,3,3780,No,Senior(50-60)
No,34,Travel_Rarely,Research & Development,Male,3,2768,No,Experienced(30-50)
No,46,Travel_Rarely,Sales,Female,4,9071,Yes,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Male,2,10648,No,Experienced(30-50)
Yes,33,Travel_Rarely,Research & Development,Male,3,13610,Yes,Experienced(30-50)
Yes,33,Travel_Rarely,Research & Development,Male,4,3408,No,Experienced(30-50)
No,30,Travel_Rarely,Sales,Male,2,2983,No,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Male,3,7632,Yes,Experienced(30-50)
Yes,31,Travel_Frequently,Research & Development,Male,3,9824,No,Experienced(30-50)
Yes,34,Travel_Frequently,Human Resources,Female,1,9950,Yes,Experienced(30-50)
No,42,Travel_Frequently,Research & Development,Male,3,2093,No,Experienced(30-50)
No,36,Non-Travel,Sales,Male,4,9980,No,Experienced(30-50)
Yes,22,Travel_Frequently,Research & Development,Male,3,3894,No,Rookie(below 30)
No,48,Travel_Rarely,Sales,Female,4,4051,No,Experienced(30-50)
No,55,Travel_Rarely,Sales,Female,2,16835,No,Senior(50-60)
No,41,Non-Travel,Sales,Male,4,6230,No,Experienced(30-50)
No,35,Travel_Rarely,Sales,Male,3,4717,No,Experienced(30-50)
No,40,Travel_Rarely,Research & Development,Female,3,13237,No,Experienced(30-50)
No,39,Travel_Frequently,Research & Development,Female,3,3755,No,Experienced(30-50)
No,31,Travel_Rarely,Sales,Male,4,6582,Yes,Experienced(30-50)
No,42,Travel_Rarely,Research & Development,Male,1,7406,Yes,Experienced(30-50)
No,45,Travel_Rarely,Sales,Male,2,4805,No,Experienced(30-50)
Yes,26,Travel_Frequently,Human Resources,Female,3,2741,Yes,Rookie(below 30)
No,29,Travel_Rarely,Research & Development,Male,4,4262,No,Rookie(below 30)
No,33,Travel_Rarely,Research & Development,Female,3,16184,No,Experienced(30-50)
No,31,Travel_Rarely,Sales,Male,4,11557,No,Experienced(30-50)
Yes,18,Travel_Frequently,Sales,Male,2,1878,Yes,Rookie(below 30)
No,40,Non-Travel,Sales,Male,1,10932,No,Experienced(30-50)
No,41,Non-Travel,Research & Development,Female,3,6811,Yes,Experienced(30-50)
No,26,Travel_Rarely,Sales,Male,3,4306,No,Rookie(below 30)
No,35,Travel_Rarely,Sales,Female,3,4859,No,Experienced(30-50)
No,34,Travel_Rarely,Sales,Male,4,5337,No,Experienced(30-50)
Yes,26,Travel_Rarely,Research & Development,Male,4,2340,Yes,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Female,4,7491,No,Experienced(30-50)
No,46,Travel_Frequently,Research & Development,Female,3,10527,No,Experienced(30-50)
No,41,Travel_Rarely,Sales,Female,1,16595,No,Experienced(30-50)
No,37,Non-Travel,Sales,Male,2,8834,No,Experienced(30-50)
No,52,Travel_Rarely,Research & Development,Male,1,5577,Yes,Senior(50-60)
Yes,32,Non-Travel,Sales,Male,3,4707,No,Experienced(30-50)
No,24,Travel_Frequently,Sales,Male,4,2400,No,Rookie(below 30)
No,38,Travel_Rarely,Research & Development,Female,3,9824,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Female,2,6447,No,Experienced(30-50)
No,49,Travel_Rarely,Research & Development,Male,3,19502,Yes,Experienced(30-50)
No,24,Travel_Rarely,Research & Development,Male,4,2725,Yes,Rookie(below 30)
No,26,Travel_Rarely,Sales,Male,2,6272,No,Rookie(below 30)
No,24,Travel_Rarely,Research & Development,Male,2,2127,No,Rookie(below 30)
No,50,Travel_Frequently,Human Resources,Male,2,18200,No,Experienced(30-50)
No,25,Travel_Rarely,Sales,Male,3,2096,No,Rookie(below 30)
Yes,24,Travel_Frequently,Research & Development,Female,3,2886,Yes,Rookie(below 30)
Yes,30,Travel_Frequently,Sales,Male,1,2033,No,Rookie(below 30)
No,34,Travel_Rarely,Research & Development,Male,4,3622,Yes,Experienced(30-50)
Yes,31,Travel_Rarely,Sales,Male,1,4233,No,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Male,4,3681,No,Experienced(30-50)
No,31,Travel_Rarely,Sales,Male,4,5460,No,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Female,3,2187,No,Rookie(below 30)
No,37,Travel_Rarely,Sales,Male,3,9602,Yes,Experienced(30-50)
No,20,Travel_Rarely,Research & Development,Female,2,2836,No,Rookie(below 30)
No,42,Travel_Rarely,Research & Development,Female,4,4089,No,Experienced(30-50)
No,43,Travel_Rarely,Research & Development,Male,4,16627,Yes,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,1,2619,No,Experienced(30-50)
No,43,Travel_Frequently,Research & Development,Male,3,5679,Yes,Experienced(30-50)
No,48,Travel_Rarely,Research & Development,Female,1,15402,No,Experienced(30-50)
No,44,Travel_Rarely,Human Resources,Female,3,5985,No,Experienced(30-50)
No,34,Travel_Rarely,Sales,Female,3,2579,Yes,Experienced(30-50)
Yes,27,Travel_Rarely,Sales,Male,1,3041,No,Rookie(below 30)
No,21,Travel_Rarely,Sales,Male,3,3447,No,Rookie(below 30)
No,44,Travel_Rarely,Research & Development,Male,4,19513,Yes,Experienced(30-50)
No,22,Travel_Rarely,Research & Development,Male,3,2773,No,Rookie(below 30)
No,33,Travel_Rarely,Sales,Male,3,7104,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Female,4,6322,Yes,Experienced(30-50)
No,30,Travel_Frequently,Research & Development,Female,3,2083,No,Rookie(below 30)
No,53,Travel_Rarely,Sales,Female,1,8381,No,Senior(50-60)
No,34,Travel_Rarely,Research & Development,Male,4,2691,No,Experienced(30-50)
Yes,45,Travel_Frequently,Sales,Female,1,4286,No,Experienced(30-50)
No,26,Travel_Rarely,Research & Development,Female,4,2659,Yes,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Male,3,9434,No,Experienced(30-50)
No,29,Travel_Rarely,Sales,Female,3,5561,No,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Male,4,6646,No,Experienced(30-50)
No,33,Travel_Frequently,Research & Development,Male,4,7725,No,Experienced(30-50)
No,54,Travel_Rarely,Human Resources,Male,2,10725,No,Senior(50-60)
No,36,Travel_Rarely,Research & Development,Male,2,8847,Yes,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Male,4,2045,No,Rookie(below 30)
Yes,20,Travel_Rarely,Research & Development,Male,3,1009,Yes,Rookie(below 30)
Yes,33,Travel_Frequently,Research & Development,Male,1,3348,Yes,Experienced(30-50)
No,35,Non-Travel,Research & Development,Male,3,1281,No,Experienced(30-50)
No,23,Travel_Rarely,Research & Development,Male,1,2819,No,Rookie(below 30)
No,25,Travel_Rarely,Sales,Male,2,4851,No,Rookie(below 30)
No,38,Travel_Rarely,Sales,Female,4,4028,No,Experienced(30-50)
No,29,Travel_Frequently,Research & Development,Male,4,2720,No,Rookie(below 30)
No,48,Travel_Rarely,Sales,Male,2,8120,No,Experienced(30-50)
No,27,Travel_Frequently,Sales,Female,4,4647,Yes,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Male,4,4680,No,Experienced(30-50)
No,50,Travel_Rarely,Research & Development,Male,3,3221,Yes,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,2,8621,No,Experienced(30-50)
Yes,24,Travel_Rarely,Sales,Female,3,4577,No,Rookie(below 30)
No,39,Travel_Rarely,Research & Development,Female,3,4553,No,Experienced(30-50)
No,32,Travel_Rarely,Sales,Male,4,5396,No,Experienced(30-50)
Yes,50,Travel_Frequently,Sales,Male,3,6796,Yes,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,4,7625,No,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Female,1,7412,No,Rookie(below 30)
No,32,Travel_Rarely,Research & Development,Female,4,11159,No,Experienced(30-50)
No,47,Travel_Rarely,Sales,Male,1,4960,No,Experienced(30-50)
No,40,Travel_Frequently,Sales,Male,1,10475,Yes,Experienced(30-50)
No,53,Travel_Rarely,Research & Development,Male,3,14814,No,Senior(50-60)
No,41,Travel_Rarely,Human Resources,Male,4,19141,No,Experienced(30-50)
No,60,Travel_Rarely,Sales,Male,1,5405,No,Senior(50-60)
No,27,Travel_Frequently,Research & Development,Male,1,8793,No,Rookie(below 30)
No,41,Travel_Rarely,Human Resources,Male,3,19189,No,Experienced(30-50)
No,50,Travel_Rarely,Sales,Male,2,3875,No,Experienced(30-50)
Yes,28,Travel_Rarely,Research & Development,Female,2,2216,Yes,Rookie(below 30)
No,36,Non-Travel,Research & Development,Female,1,11713,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,3,7861,Yes,Experienced(30-50)
No,44,Non-Travel,Research & Development,Male,3,3708,No,Experienced(30-50)
No,47,Travel_Frequently,Sales,Female,3,13770,Yes,Experienced(30-50)
No,30,Travel_Rarely,Sales,Male,4,5304,No,Rookie(below 30)
No,29,Travel_Rarely,Sales,Male,3,2642,No,Rookie(below 30)
Yes,42,Travel_Frequently,Research & Development,Male,3,2759,Yes,Experienced(30-50)
No,43,Travel_Frequently,Sales,Male,4,6804,No,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,3,6142,No,Experienced(30-50)
No,23,Travel_Rarely,Research & Development,Male,1,2500,No,Rookie(below 30)
No,39,Travel_Rarely,Human Resources,Female,2,6389,No,Experienced(30-50)
No,56,Travel_Rarely,Research & Development,Male,4,11103,No,Senior(50-60)
No,40,Travel_Rarely,Research & Development,Female,4,2342,Yes,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Female,1,6811,No,Rookie(below 30)
No,29,Travel_Rarely,Sales,Male,2,2297,No,Rookie(below 30)
No,53,Travel_Rarely,Research & Development,Male,4,2450,No,Senior(50-60)
No,35,Non-Travel,Research & Development,Female,1,5093,No,Experienced(30-50)
No,32,Travel_Frequently,Research & Development,Male,4,5309,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Male,3,3057,Yes,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,1,5121,No,Experienced(30-50)
No,52,Travel_Rarely,Sales,Male,1,16856,No,Senior(50-60)
Yes,33,Travel_Rarely,Research & Development,Male,4,2686,Yes,Experienced(30-50)
No,25,Travel_Rarely,Sales,Female,4,6180,No,Rookie(below 30)
No,45,Travel_Rarely,Sales,Male,3,6632,No,Experienced(30-50)
No,23,Travel_Rarely,Research & Development,Male,3,3505,No,Rookie(below 30)
Yes,47,Travel_Frequently,Sales,Female,3,6397,Yes,Experienced(30-50)
No,34,Travel_Rarely,Sales,Male,4,6274,No,Experienced(30-50)
Yes,55,Travel_Rarely,Research & Development,Male,1,19859,Yes,Senior(50-60)
No,36,Non-Travel,Sales,Male,1,7587,No,Experienced(30-50)
No,52,Non-Travel,Research & Development,Male,4,4258,No,Senior(50-60)
No,26,Travel_Frequently,Research & Development,Female,4,4364,No,Rookie(below 30)
No,29,Travel_Rarely,Research & Development,Female,3,4335,No,Rookie(below 30)
Yes,26,Travel_Rarely,Sales,Male,1,5326,No,Rookie(below 30)
No,34,Travel_Rarely,Research & Development,Female,4,3280,No,Experienced(30-50)
No,54,Travel_Rarely,Research & Development,Female,1,5485,Yes,Senior(50-60)
No,27,Travel_Frequently,Sales,Male,4,4342,No,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Female,1,2782,Yes,Experienced(30-50)
No,38,Travel_Frequently,Research & Development,Female,1,5980,Yes,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,1,4381,No,Experienced(30-50)
No,35,Travel_Rarely,Sales,Female,4,2572,No,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Male,3,3833,No,Rookie(below 30)
No,40,Travel_Frequently,Research & Development,Female,2,4244,No,Experienced(30-50)
No,34,Travel_Rarely,Sales,Female,1,6500,No,Experienced(30-50)
No,42,Travel_Frequently,Research & Development,Male,4,18430,No,Experienced(30-50)
Yes,23,Travel_Rarely,Research & Development,Male,1,1601,Yes,Rookie(below 30)
No,24,Non-Travel,Research & Development,Male,2,2694,No,Rookie(below 30)
No,52,Travel_Rarely,Research & Development,Female,3,3149,No,Senior(50-60)
No,50,Travel_Rarely,Research & Development,Male,3,17639,No,Experienced(30-50)
Yes,29,Travel_Rarely,Research & Development,Female,1,2319,Yes,Rookie(below 30)
No,33,Travel_Rarely,Research & Development,Male,3,11691,No,Experienced(30-50)
Yes,33,Travel_Rarely,Sales,Female,1,5324,No,Experienced(30-50)
No,47,Travel_Rarely,Research & Development,Female,4,16752,Yes,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Female,2,5228,No,Experienced(30-50)
No,29,Travel_Rarely,Research & Development,Male,3,2700,No,Rookie(below 30)
Yes,58,Travel_Rarely,Research & Development,Male,2,19246,Yes,Senior(50-60)
No,35,Travel_Rarely,Research & Development,Female,3,2506,No,Experienced(30-50)
No,42,Travel_Rarely,Research & Development,Female,4,6062,Yes,Experienced(30-50)
Yes,28,Travel_Rarely,Research & Development,Male,3,4382,No,Rookie(below 30)
No,36,Travel_Rarely,Human Resources,Male,2,2143,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Female,3,6162,No,Experienced(30-50)
No,40,Travel_Frequently,Research & Development,Male,3,5094,No,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Female,4,6877,Yes,Rookie(below 30)
No,45,Travel_Rarely,Research & Development,Female,3,2274,No,Experienced(30-50)
No,42,Travel_Rarely,Research & Development,Male,2,4434,No,Experienced(30-50)
No,38,Travel_Frequently,Research & Development,Male,1,6288,No,Experienced(30-50)
No,34,Travel_Frequently,Research & Development,Female,4,2553,No,Experienced(30-50)
Yes,49,Travel_Rarely,Sales,Female,4,7654,No,Experienced(30-50)
Yes,55,Travel_Rarely,Sales,Male,4,5160,No,Senior(50-60)
No,43,Travel_Rarely,Research & Development,Male,1,17159,No,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Male,4,12808,Yes,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Male,3,10221,No,Experienced(30-50)
No,28,Travel_Rarely,Sales,Female,2,4779,Yes,Rookie(below 30)
No,34,Travel_Rarely,Human Resources,Male,4,3737,No,Experienced(30-50)
Yes,26,Travel_Frequently,Research & Development,Female,3,2366,Yes,Rookie(below 30)
No,27,Non-Travel,Research & Development,Male,4,1706,No,Rookie(below 30)
No,51,Travel_Rarely,Sales,Female,3,16307,No,Senior(50-60)
No,44,Travel_Rarely,Research & Development,Male,2,5933,No,Experienced(30-50)
No,25,Travel_Rarely,Research & Development,Male,1,3424,No,Rookie(below 30)
No,33,Travel_Rarely,Sales,Male,1,4037,No,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Female,1,2559,No,Experienced(30-50)
No,36,Travel_Rarely,Sales,Male,4,6201,Yes,Experienced(30-50)
No,32,Travel_Rarely,Sales,Male,4,4403,No,Experienced(30-50)
No,30,Travel_Frequently,Research & Development,Male,4,3761,No,Rookie(below 30)
No,53,Travel_Rarely,Sales,Female,4,10934,Yes,Senior(50-60)
No,45,Travel_Rarely,Sales,Male,1,10761,Yes,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Female,3,5175,No,Experienced(30-50)
No,52,Travel_Frequently,Research & Development,Female,4,13826,No,Senior(50-60)
No,37,Travel_Rarely,Sales,Male,3,6334,No,Experienced(30-50)
No,28,Travel_Rarely,Human Resources,Male,4,4936,No,Rookie(below 30)
No,22,Travel_Rarely,Research & Development,Male,4,4775,No,Rookie(below 30)
No,44,Travel_Rarely,Research & Development,Male,4,2818,Yes,Experienced(30-50)
No,42,Travel_Frequently,Research & Development,Male,4,2515,Yes,Experienced(30-50)
No,36,Travel_Rarely,Human Resources,Male,1,2342,No,Experienced(30-50)
No,25,Travel_Rarely,Sales,Male,1,4194,Yes,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Female,3,10685,Yes,Experienced(30-50)
Yes,35,Travel_Frequently,Research & Development,Female,2,2022,Yes,Experienced(30-50)
No,32,Non-Travel,Research & Development,Male,4,2314,No,Experienced(30-50)
No,25,Travel_Rarely,Sales,Male,1,4256,No,Rookie(below 30)
No,49,Travel_Rarely,Research & Development,Female,1,3580,No,Experienced(30-50)
No,24,Non-Travel,Research & Development,Male,4,3162,No,Rookie(below 30)
No,32,Travel_Frequently,Sales,Male,2,6524,No,Experienced(30-50)
No,38,Travel_Rarely,Sales,Male,2,2899,No,Experienced(30-50)
No,42,Travel_Rarely,Research & Development,Female,4,5231,Yes,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Male,4,2356,Yes,Experienced(30-50)
Yes,29,Travel_Rarely,Sales,Female,3,2800,Yes,Rookie(below 30)
No,53,Travel_Rarely,Sales,Male,4,11836,No,Senior(50-60)
No,35,Travel_Rarely,Research & Development,Male,2,10903,No,Experienced(30-50)
No,37,Travel_Frequently,Sales,Female,4,2973,No,Experienced(30-50)
No,53,Travel_Rarely,Research & Development,Female,4,14275,No,Senior(50-60)
No,43,Travel_Frequently,Research & Development,Female,4,5562,No,Experienced(30-50)
No,47,Travel_Rarely,Sales,Female,4,4537,Yes,Experienced(30-50)
No,37,Non-Travel,Sales,Male,2,7642,Yes,Experienced(30-50)
No,50,Non-Travel,Research & Development,Male,1,17924,No,Experienced(30-50)
No,39,Travel_Rarely,Human Resources,Female,4,5204,No,Experienced(30-50)
No,33,Travel_Rarely,Human Resources,Male,2,2277,Yes,Experienced(30-50)
Yes,32,Travel_Rarely,Research & Development,Male,4,2795,Yes,Experienced(30-50)
No,29,Travel_Rarely,Research & Development,Female,4,2532,No,Rookie(below 30)
No,44,Travel_Rarely,Research & Development,Male,1,2559,Yes,Experienced(30-50)
No,28,Travel_Rarely,Sales,Male,4,4908,No,Rookie(below 30)
Yes,58,Travel_Frequently,Research & Development,Male,4,2380,Yes,Senior(50-60)
No,43,Travel_Rarely,Research & Development,Female,2,4765,No,Experienced(30-50)
Yes,20,Travel_Rarely,Sales,Female,3,2044,No,Rookie(below 30)
Yes,21,Travel_Rarely,Research & Development,Female,4,2693,No,Rookie(below 30)
No,36,Travel_Rarely,Research & Development,Male,4,6586,Yes,Experienced(30-50)
No,47,Travel_Rarely,Sales,Female,4,3294,Yes,Experienced(30-50)
Yes,22,Travel_Rarely,Research & Development,Female,3,4171,Yes,Rookie(below 30)
Yes,41,Travel_Rarely,Research & Development,Female,4,2778,Yes,Experienced(30-50)
No,28,Travel_Rarely,Research & Development,Female,3,2377,No,Rookie(below 30)
Yes,39,Travel_Rarely,Research & Development,Male,1,2404,Yes,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Female,3,2318,No,Rookie(below 30)
No,34,Travel_Rarely,Research & Development,Male,2,2008,No,Experienced(30-50)
No,42,Travel_Rarely,Sales,Female,3,6244,No,Experienced(30-50)
No,33,Travel_Rarely,Research & Development,Male,1,2799,Yes,Experienced(30-50)
No,58,Travel_Rarely,Research & Development,Female,2,10552,Yes,Senior(50-60)
No,31,Travel_Rarely,Sales,Male,3,2329,No,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Female,4,4014,Yes,Experienced(30-50)
No,49,Travel_Rarely,Research & Development,Female,2,7403,No,Experienced(30-50)
No,48,Travel_Rarely,Research & Development,Male,3,2259,No,Experienced(30-50)
No,31,Non-Travel,Sales,Female,3,6932,No,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Male,4,4678,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,1,13582,No,Experienced(30-50)
No,32,Non-Travel,Research & Development,Female,2,2332,No,Experienced(30-50)
Yes,25,Travel_Rarely,Sales,Male,2,2413,Yes,Rookie(below 30)
No,40,Travel_Rarely,Sales,Male,2,9705,No,Experienced(30-50)
No,26,Travel_Frequently,Sales,Male,1,4294,No,Rookie(below 30)
No,41,Travel_Rarely,Research & Development,Male,1,4721,Yes,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Male,3,2519,No,Experienced(30-50)
Yes,19,Travel_Rarely,Sales,Male,2,2121,Yes,Rookie(below 30)
Yes,20,Travel_Rarely,Research & Development,Male,1,2973,No,Rookie(below 30)
No,31,Travel_Rarely,Research & Development,Female,4,5855,Yes,Experienced(30-50)
No,40,Travel_Frequently,Research & Development,Male,2,3617,Yes,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Female,1,6725,No,Experienced(30-50)
Yes,36,Travel_Rarely,Sales,Male,4,10325,Yes,Experienced(30-50)
No,33,Travel_Rarely,Research & Development,Female,4,6949,No,Experienced(30-50)
Yes,37,Travel_Rarely,Sales,Male,3,10609,No,Experienced(30-50)
No,45,Non-Travel,Research & Development,Male,2,4447,No,Experienced(30-50)
No,29,Travel_Frequently,Sales,Female,4,2157,No,Rookie(below 30)
No,35,Travel_Rarely,Sales,Female,3,4601,No,Experienced(30-50)
No,52,Travel_Rarely,Research & Development,Male,4,17099,No,Senior(50-60)
Yes,58,Travel_Rarely,Research & Development,Male,3,2479,No,Senior(50-60)
No,53,Travel_Rarely,Sales,Male,3,14852,No,Senior(50-60)
No,30,Travel_Rarely,Sales,Male,3,7264,No,Rookie(below 30)
No,38,Non-Travel,Sales,Female,4,5666,Yes,Experienced(30-50)
No,35,Travel_Rarely,Sales,Male,4,7823,No,Experienced(30-50)
No,39,Travel_Rarely,Sales,Male,3,7880,No,Experienced(30-50)
Yes,40,Non-Travel,Sales,Female,2,13194,Yes,Experienced(30-50)
No,47,Travel_Frequently,Research & Development,Male,3,5067,Yes,Experienced(30-50)
No,36,Non-Travel,Sales,Male,4,5079,No,Experienced(30-50)
Yes,31,Non-Travel,Research & Development,Male,1,2321,Yes,Experienced(30-50)
No,33,Non-Travel,Sales,Male,3,17444,No,Experienced(30-50)
Yes,29,Travel_Rarely,Research & Development,Female,1,2404,Yes,Rookie(below 30)
No,33,Travel_Rarely,Research & Development,Female,4,3452,No,Experienced(30-50)
No,45,Travel_Rarely,Research & Development,Female,4,2270,No,Experienced(30-50)
